,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid
1471,1471,1471,1471,Selective inhibition of histone deacetylase 6 (HDAC6) induces DNA damage and sensitizes transformed cells to anticancer agents,Mandana Namdar; Gisela Perez; Lang Ngo; and Paul A. Marks,Mandana Namdar,November 16; 2010 ,Medical Sciences,110.0,0,0,0,0
1472,1472,1472,1472,Dendritic polyglycerol sulfates as multivalent inhibitors of inflammation,Jens Dernedde; Alexandra Rausch; Marie Weinhart; Sven Enders; Rudolf Tauber; Kai Licha; Michael Schirner; Ulrich Zügel; Arne von Bonin; and Rainer Haag,Jens Dernedde,November 16; 2010 ,Medical Sciences,133.0,0,0,0,0
1473,1473,1473,1473,Generation of induced pluripotent stem cells using site-specific integration with phage integrase,Lin Ye; Judy C. Chang; Chin Lin; Zhongxia Qi; Jingwei Yu; and Yuet Wai Kan,Lin Ye,November 9; 2010 ,Medical Sciences,32.0,0,0,0,0
1474,1474,1474,1474,Glucocerebrosidase gene-deficient mouse recapitulates Gaucher disease displaying cellular and molecular dysregulation beyond the macrophage,Pramod K. Mistry; Jun Liu; Mei Yang; Timothy Nottoli; James McGrath; Dhanpat Jain; Kate Zhang; Joan Keutzer; Wei-Lien Chuang; Wajahat Z. Mehal; Hongyu Zhao; Aiping Lin; Shrikant Mane; Xuan Liu; Yuan Z. Peng; Jian H. Li; Manasi Agrawal; Ling-Ling Zhu; Harry C. Blair; Lisa J. Robinson; Jameel Iqbal; Li Sun; and Mone Zaidi,Pramod K. Mistry,November 9; 2010 ,Medical Sciences,108.0,0,0,0,0
1475,1475,1475,1475,Phosphorylation of Ser312 contributes to tumor suppression by p53 in vivo,Elizabeth A. Slee; Barbara Benassi; Robert Goldin; Shan Zhong; Indrika Ratnayaka; Giovanni Blandino; and Xin Lu,Elizabeth A. Slee,November 9; 2010 ,Medical Sciences,10.0,0,0,0,0
1476,1476,1476,1476,Antiretroviral therapy for tuberculosis control in nine African countries,Brian G. Williams; Reuben Granich; Kevin M. De Cock; Philippe Glaziou; Abhishek Sharma; and Christopher Dye,Brian G. Williams,November 9; 2010 ,Medical Sciences,59.0,0,0,0,0
1477,1477,1477,1477,B-cell activating factor and v-Myc myelocytomatosis viral oncogene homolog (c-Myc) influence progression of chronic lymphocytic leukemia,Weizhou Zhang; Arnon P. Kater; George F. Widhopf II; Han-Yu Chuang; Thomas Enzler; Danelle F. James; Maxim Poustovoitov; Ping-Hui Tseng; Siegfried Janz; Carl Hoh; Harvey Herschman; Michael Karin; and Thomas J. Kipps,Weizhou Zhang,November 2; 2010 ,Medical Sciences,42.0,0,0,0,0
1478,1478,1478,1478,EGLN1 involvement in high-altitude adaptation revealed through genetic analysis of extreme constitution types defined in Ayurveda,Shilpi Aggarwal; Sapna Negi; Pankaj Jha; Prashant K. Singh; Tsering Stobdan; M. A. Qadar Pasha; Saurabh Ghosh; Anurag Agrawal; Indian Genome Variation Consortium; Bhavana Prasher; and Mitali Mukerji,Shilpi Aggarwal,November 2; 2010 ,Medical Sciences,62.0,0,0,0,0
1479,1479,1479,1479,Endothelial histamine H1 receptor signaling reduces blood–brain barrier permeability and susceptibility to autoimmune encephalomyelitis,Changming Lu; Sean A. Diehl; Rajkumar Noubade; Jonathan Ledoux; Mark T. Nelson; Karen Spach; James F. Zachary; Elizabeth P. Blankenhorn; and Cory Teuscher,Changming Lu,November 2; 2010 ,Medical Sciences,24.0,0,0,0,0
1480,1480,1480,1480,Mucosal host immune response predicts the severity and duration of herpes simplex virus-2 genital tract shedding episodes,Joshua T. Schiffer; Laith Abu-Raddad; Karen E. Mark; Jia Zhu; Stacy Selke; David M. Koelle; Anna Wald; and Lawrence Corey,Joshua T. Schiffer,November 2; 2010 ,Medical Sciences,,0,0,0,0
1481,1481,1481,1481,Roles and interactions among protease-activated receptors and P2ry12 in hemostasis and thrombosis,Ivo Cornelissen; Daniel Palmer; Tovo David; Lisa Wilsbacher; Cherry Concengco; Pamela Conley; Anjali Pandey; and Shaun R. Coughlin,Ivo Cornelissen,October 26; 2010 ,Medical Sciences,27.0,0,0,0,0
1482,1482,1482,1482,Acceleration of wound healing by growth hormone-releasing hormone and its agonists,Nikolina Dioufa; Andrew V. Schally; Ioulia Chatzistamou; Evi Moustou; Norman L. Block; Gary K. Owens; Athanasios G. Papavassiliou; and Hippokratis Kiaris,Nikolina Dioufa,October 26; 2010 ,Medical Sciences,29.0,0,0,0,0
1483,1483,1483,1483,p21-activated kinase 4 regulates ovarian cancer cell proliferation; migration; and invasion and contributes to poor prognosis in patients,Michelle K. Y. Siu; Hoi Yan Chan; Daniel S. H. Kong; Esther S. Y. Wong; Oscar G. W. Wong; Hextan Y. S. Ngan; Kar Fai Tam; Hongquan Zhang; Zhilun Li; Queeny K. Y. Chan; Sai Wah Tsao; Staffan Strömblad; and Annie N. Y. Cheung,Michelle K. Y. Siu,October 26; 2010 ,Medical Sciences,104.0,0,0,0,0
1484,1484,1484,1484,Methionine sulfoxide reductase A down-regulation in human breast cancer cells results in a more aggressive phenotype,Antonella De Luca; Fabio Sanna; Michele Sallese; Carmen Ruggiero; Mauro Grossi; Paolo Sacchetta; Cosmo Rossi; Vincenzo De Laurenzi; Carmine Di Ilio; and Bartolo Favaloro,Antonella De Luca,October 26; 2010 ,Medical Sciences,42.0,0,0,0,0
1485,1485,1485,1485,Vascular endothelial platelet endothelial cell adhesion molecule 1 (PECAM-1) regulates advanced metastatic progression,Horace DeLisser; Yong Liu; Pierre-Yves Desprez; Ann Thor; Paraskevei Briasouli; Chakrapong Handumrongkul; Jonathon Wilfong; Garret Yount; Mehdi Nosrati; Sylvia Fong; Emma Shtivelman; Melane Fehrenbach; Gaoyuan Cao; Dan H. Moore; Shruti Nayak; Denny Liggitt; Mohammed Kashani-Sabet; and Robert Debs,Horace DeLisser,October 26; 2010 ,Medical Sciences,32.0,0,0,0,0
1486,1486,1486,1486,Development of a highly efficacious vaccinia-based dual vaccine against smallpox and anthrax; two important bioterror entities,Tod J. Merkel; Pin-Yu Perera; Vanessa K. Kelly; Anita Verma; Zara N. Llewellyn; Thomas A. Waldmann; Joseph D. Mosca; and Liyanage P. Perera,Tod J. Merkel,October 19; 2010 ,Medical Sciences,15.0,0,0,0,0
1487,1487,1487,1487,Heterogeneous myocyte enhancer factor-2 (Mef2) activation in myocytes predicts focal scarring in hypertrophic cardiomyopathy,Tetsuo Konno; Dan Chen; Libin Wang; Hiroko Wakimoto; Polakit Teekakirikul; Matthew Nayor; Masataka Kawana; Seda Eminaga; Joshua M. Gorham; Kumar Pandya; Oliver Smithies; Francisco J. Naya; Eric N. Olson; J. G. Seidman; and Christine E. Seidman,Tetsuo Konno,October 19; 2010 ,Medical Sciences,35.0,0,0,0,0
1488,1488,1488,1488,Epstein-Barr latent membrane protein 1 transformation site 2 activates NF-κB in the absence of NF-κB essential modifier residues 133–224 or 373–419,Daniela Boehm; Benjamin E. Gewurz; Elliott Kieff; and Ellen Cahir-McFarland,Daniela Boehm,October 19; 2010 ,Medical Sciences,10.0,0,0,0,0
1489,1489,1489,1489,Decreased ENaC expression compensates the increased NCC activity following inactivation of the kidney-specific isoform of WNK1 and prevents hypertension,Juliette Hadchouel; Christelle Soukaseum; Cara Büsst; Xiao-ou Zhou; Véronique Baudrie; Tany Zürrer; Michelle Cambillau; Jean-Luc Elghozi; Richard P. Lifton; Johannes Loffing; and Xavier Jeunemaitre,Juliette Hadchouel,October 19; 2010 ,Medical Sciences,60.0,0,0,0,0
1490,1490,1490,1490,Cancer stem cells from human breast tumors are involved in spontaneous metastases in orthotopic mouse models,Huiping Liu; Manishkumar R. Patel; Jennifer A. Prescher; Antonia Patsialou; Dalong Qian; Jiahui Lin; Susanna Wen; Ya-Fang Chang; Michael H. Bachmann; Yohei Shimono; Piero Dalerba; Maddalena Adorno; Neethan Lobo; Janet Bueno; Frederick M. Dirbas; Sumanta Goswami; George Somlo; John Condeelis; Christopher H. Contag; Sanjiv Sam Gambhir; and Michael F. Clarke,Huiping Liu,October 19; 2010 ,Medical Sciences,211.0,0,0,0,0
1491,1491,1491,1491,NADPH oxidase-4 mediates protection against chronic load-induced stress in mouse hearts by enhancing angiogenesis,Min Zhang; Alison C. Brewer; Katrin Schröder; Celio X. C. Santos; David J. Grieve; Minshu Wang; Narayana Anilkumar; Bin Yu; Xuebin Dong; Simon J. Walker; Ralf P. Brandes; and Ajay M. Shah,Min Zhang,October 19; 2010 ,Medical Sciences,239.0,0,0,0,0
1492,1492,1492,1492,Suppressor of MEK null (SMEK)/protein phosphatase 4 catalytic subunit (PP4C) is a key regulator of hepatic gluconeogenesis,Young-Sil Yoon; Min-Woo Lee; Dongryeol Ryu; Jeong Ho Kim; Hui Ma; Woo-Young Seo; Yo-Na Kim; Su Sung Kim; Chul Ho Lee; Tony Hunter; Cheol Soo Choi; Marc R. Montminy; and Seung-Hoi Koo,Young-Sil Yoon,October 12; 2010 ,Medical Sciences,35.0,0,0,0,0
1493,1493,1493,1493,Oleoyl serine; an endogenous N-acyl amide; modulates bone remodeling and mass,Reem Smoum; Arik Bar; Bo Tan; Garry Milman; Malka Attar-Namdar; Orr Ofek; Jordyn M. Stuart; Alon Bajayo; Joseph Tam; Vardit Kram; David O'Dell; Michael J. Walker; Heather B. Bradshaw; Itai Bab; and Raphael Mechoulam,Reem Smoum,October 12; 2010 ,Medical Sciences,39.0,0,0,0,0
1494,1494,1494,1494,Dietary inorganic nitrate reverses features of metabolic syndrome in endothelial nitric oxide synthase-deficient mice,Mattias Carlström; Filip J. Larsen; Thomas Nyström; Michael Hezel; Sara Borniquel; Eddie Weitzberg; and Jon O. Lundberg,Mattias Carlström,October 12; 2010 ,Medical Sciences,165.0,0,0,0,0
1495,1495,1495,1495,Cell-autonomous activation of the PI3-kinase pathway initiates endometrial cancer from adult uterine epithelium,Sanaz Memarzadeh; Yang Zong; Deanna M. Janzen; Andrew S. Goldstein; Donghui Cheng; Takeshi Kurita; Amanda M. Schafenacker; Jiaoti Huang; and Owen N. Witte,Sanaz Memarzadeh,October 5; 2010 ,Medical Sciences,27.0,0,0,0,0
1496,1496,1496,1496,The G protein-coupled receptor T-cell death-associated gene 8 (TDAG8) facilitates tumor development by serving as an extracellular pH sensor,Yuichiro Ihara; Yasuyuki Kihara; Fumie Hamano; Keisuke Yanagida; Yasuyuki Morishita; Akiko Kunita; Takao Yamori; Masashi Fukayama; Hiroyuki Aburatani; Takao Shimizu; and Satoshi Ishii,Yuichiro Ihara,October 5; 2010 ,Medical Sciences,39.0,0,0,0,0
1497,1497,1497,1497,PGE2-regulated wnt signaling and N-acetylcysteine are synergistically hepatoprotective in zebrafish acetaminophen injury,Trista E. North; I. Ramesh Babu; Lea M. Vedder; Allegra M. Lord; John S. Wishnok; Steven R. Tannenbaum; Leonard I. Zon; and Wolfram Goessling,Trista E. North,October 5; 2010 ,Medical Sciences,65.0,0,0,0,0
1498,1498,1498,1498,MicroRNA-33 encoded by an intron of sterol regulatory element-binding protein 2 (Srebp2) regulates HDL in vivo,Takahiro Horie; Koh Ono; Masahito Horiguchi; Hitoo Nishi; Tomoyuki Nakamura; Kazuya Nagao; Minako Kinoshita; Yasuhide Kuwabara; Hiroyuki Marusawa; Yoshitaka Iwanaga; Koji Hasegawa; Masayuki Yokode; Takeshi Kimura; and Toru Kita,Takahiro Horie,October 5; 2010 ,Medical Sciences,216.0,0,0,0,0
1499,1499,1499,1499,Complement receptor 1 is the host erythrocyte receptor for Plasmodium falciparum PfRh4 invasion ligand,Wai-Hong Tham; Danny W. Wilson; Sash Lopaticki; Christoph Q. Schmidt; Patience B. Tetteh-Quarcoo; Paul N. Barlow; Dave Richard; Jason E. Corbin; James G. Beeson; and Alan F. Cowman,Wai-Hong Tham,October 5; 2010 ,Medical Sciences,119.0,0,0,0,0
1500,1500,1500,1500,Essential role of c-myb in definitive hematopoiesis is evolutionarily conserved,Cristian Soza-Ried; Isabell Hess; Nikolai Netuschil; Michael Schorpp; and Thomas Boehm,Cristian Soza-Ried,October 5; 2010 ,Medical Sciences,65.0,0,0,0,0
1501,1501,1501,1501,Highly aneuploid zebrafish malignant peripheral nerve sheath tumors have genetic alterations similar to human cancers,GuangJun Zhang; Sebastian Hoersch; Adam Amsterdam; Charles A. Whittaker; Jacqueline A. Lees; and Nancy Hopkins,GuangJun Zhang,September 28; 2010 ,Medical Sciences,25.0,0,0,0,0
1502,1502,1502,1502,The vent-like homeobox gene VENTX promotes human myeloid differentiation and is highly expressed in acute myeloid leukemia,Vijay P. S. Rawat; Natalia Arseni; Farid Ahmed; Medhanie A. Mulaw; Silvia Thoene; Bernhard Heilmeier; Tim Sadlon; Richard J. D'Andrea; Wolfgang Hiddemann; Stefan K. Bohlander; Christian Buske; and Michaela Feuring-Buske,Vijay P. S. Rawat,September 28; 2010 ,Medical Sciences,14.0,0,0,0,0
1503,1503,1503,1503,Role for the nuclear receptor-binding SET domain protein 1 (NSD1) methyltransferase in coordinating lysine 36 methylation at histone 3 with RNA polymerase II function,Agda Karina Lucio-Eterovic; Melissa M. Singh; Jeffrey E. Gardner; Chendhore S. Veerappan; Judd C. Rice; and Phillip B. Carpenter,Agda Karina Lucio-Eterovic,September 28; 2010 ,Medical Sciences,44.0,0,0,0,0
1504,1504,1504,1504,Structural profiling of endogenous S-nitrosocysteine residues reveals unique features that accommodate diverse mechanisms for protein S-nitrosylation,Paschalis-Thomas Doulias; Jennifer L. Greene; Todd M. Greco; Margarita Tenopoulou; Steve H. Seeholzer; Roland L. Dunbrack; and Harry Ischiropoulos,Paschalis-Thomas Doulias,September 28; 2010 ,Medical Sciences,158.0,0,0,0,0
1505,1505,1505,1505,Constitutively active androgen receptor splice variants expressed in castration-resistant prostate cancer require full-length androgen receptor,Philip A. Watson; Yinan F. Chen; Minna D. Balbas; John Wongvipat; Nicholas D. Socci; Agnes Viale; Kwanghee Kim; and Charles L. Sawyers,Philip A. Watson,September 28; 2010 ,Medical Sciences,351.0,0,0,0,0
1506,1506,1506,1506,Notch signaling contributes to proliferation and tumor formation of human T-cell leukemia virus type 1–associated adult T-cell leukemia,Joanna Pancewicz; John M. Taylor; Abhik Datta; Hicham H. Baydoun; Thomas A. Waldmann; Olivier Hermine; and Christophe Nicot,Joanna Pancewicz,September 21; 2010 ,Medical Sciences,53.0,0,0,0,0
1507,1507,1507,1507,Deficiency of 5-hydroxyisourate hydrolase causes hepatomegaly and hepatocellular carcinoma in mice,William S. Stevenson; Craig D. Hyland; Jian-Guo Zhang; Phillip O. Morgan; Tracy A. Willson; Anthony Gill; Adrienne A. Hilton; Elizabeth M. Viney; Melanie Bahlo; Seth L. Masters; Sarah Hennebry; Samantha J. Richardson; Nicos A. Nicola; Donald Metcalf; Douglas J. Hilton; Andrew W. Roberts; and Warren S. Alexander,William S. Stevenson,September 21; 2010 ,Medical Sciences,14.0,0,0,0,0
1508,1508,1508,1508,Multipotential hematopoietic blast colony-forming cells exhibit delays in self-generation and lineage commitment,Donald Metcalf; Ashley Ng; Sandra Mifsud; and Ladina Di Rago,Donald Metcalf,September 14; 2010 ,Medical Sciences,7.0,0,0,0,0
1509,1509,1509,1509,Major increase in human monkeypox incidence 30 years after smallpox vaccination campaigns cease in the Democratic Republic of Congo,Anne W. Rimoin; Prime M. Mulembakani; Sara C. Johnston; James O. Lloyd Smith; Neville K. Kisalu; Timothee L. Kinkela; Seth Blumberg; Henri A. Thomassen; Brian L. Pike; Joseph N. Fair; Nathan D. Wolfe; Robert L. Shongo; Barney S. Graham; Pierre Formenty; Emile Okitolonda; Lisa E. Hensley; Hermann Meyer; Linda L. Wright; and Jean-Jacques Muyembe,Anne W. Rimoin,September 14; 2010 ,Medical Sciences,143.0,0,0,0,0
1510,1510,1510,1510,Insulin-like growth factor 1 treatment extends longevity in a mouse model of human premature aging by restoring somatotroph axis function,Guillermo Mariño; Alejandro P. Ugalde; Álvaro F. Fernández; Fernando G. Osorio; Antonio Fueyo; José M. P. Freije; and Carlos López-Otín,Guillermo Mariño,September 14; 2010 ,Medical Sciences,63.0,0,0,0,0
1511,1511,1511,1511,Rapidly fatal myeloproliferative disorders in mice with deletion of Casitas B-cell lymphoma (Cbl) and Cbl-b in hematopoietic stem cells,Mayumi Naramura; Neha Nandwani; Hua Gu; Vimla Band; and Hamid Band,Mayumi Naramura,September 14; 2010 ,Medical Sciences,31.0,0,0,0,0
1512,1512,1512,1512,Isolation and killing of candidate chronic myeloid leukemia stem cells by antibody targeting of IL-1 receptor accessory protein,Marcus Järås; Petra Johnels; Nils Hansen; Helena Ågerstam; Panagiotis Tsapogas; Marianne Rissler; Carin Lassen; Tor Olofsson; Ole Weis Bjerrum; Johan Richter; and Thoas Fioretos,Marcus Järås,September 14; 2010 ,Medical Sciences,75.0,0,0,0,0
1513,1513,1513,1513,Detection of MLV-related virus gene sequences in blood of patients with chronic fatigue syndrome and healthy blood donors,Shyh-Ching Lo; Natalia Pripuzova; Bingjie Li; Anthony L. Komaroff; Guo-Chiuan Hung; Richard Wang; and Harvey J. Alter,Shyh-Ching Lo,September 7; 2010 ,Medical Sciences,149.0,0,0,0,0
1514,1514,1514,1514,Extracellular DNA traps promote thrombosis,Tobias A. Fuchs; Alexander Brill; Daniel Duerschmied; Daphne Schatzberg; Marc Monestier; Daniel D. Myers Jr.; Shirley K. Wrobleski; Thomas W. Wakefield; John H. Hartwig; and Denisa D. Wagner,Tobias A. Fuchs,September 7; 2010 ,Medical Sciences,666.0,0,0,0,0
1515,1515,1515,1515,Angiotensin-converting enzyme 2 attenuates atherosclerotic lesions by targeting vascular cells,Cheng Zhang; Yu Xia Zhao; Yue Hui Zhang; Li Zhu; Bi Ping Deng; Zhao Li Zhou; Shu Ying Li; Xiao Ting Lu; Li Li Song; Xue Ming Lei; Wen Bo Tang; Nan Wang; Chun Ming Pan; Huai Dong Song; Chun Xi Liu; Bo Dong; Yun Zhang; and Yihai Cao,Cheng Zhang,September 7; 2010 ,Medical Sciences,63.0,0,0,0,0
1516,1516,1516,1516,Ghrelin secretion stimulated by β1-adrenergic receptors in cultured ghrelinoma cells and in fasted mice,Tong-Jin Zhao; Ichiro Sakata; Robert Lin Li; Guosheng Liang; James A. Richardson; Michael S. Brown; Joseph L. Goldstein; and Jeffrey M. Zigman,Tong-Jin Zhao,September 7; 2010 ,Medical Sciences,90.0,0,0,0,0
1517,1517,1517,1517,Noninvasive molecular imaging of c-Myc activation in living mice,Hua Fan-Minogue; Zhongwei Cao; Ramasamy Paulmurugan; Carmel T. Chan; Tarik F. Massoud; Dean W. Felsher; and Sanjiv S. Gambhir,Hua Fan-Minogue,September 7; 2010 ,Medical Sciences,26.0,0,0,0,0
1518,1518,1518,1518,Uterine FK506-binding protein 52 (FKBP52)–peroxiredoxin-6 (PRDX6) signaling protects pregnancy from overt oxidative stress,Yasushi Hirota; Nuray Acar; Susanne Tranguch; Kristin E. Burnum; Huirong Xie; Ako Kodama; Yutaka Osuga; Ismail Ustunel; David B. Friedman; Richard M. Caprioli; Takiko Daikoku; and Sudhansu K. Dey,Yasushi Hirota,August 31; 2010 ,Medical Sciences,32.0,0,0,0,0
1519,1519,1519,1519,TGF-β IL-6 axis mediates selective and adaptive mechanisms of resistance to molecular targeted therapy in lung cancer,Zhan Yao; Silvia Fenoglio; Ding Cheng Gao; Matthew Camiolo; Brendon Stiles; Trine Lindsted; Michaela Schlederer; Chris Johns; Nasser Altorki; Vivek Mittal; Lukas Kenner; and Raffaella Sordella,Zhan Yao,August 31; 2010 ,Medical Sciences,196.0,0,0,0,0
1520,1520,1520,1520,Sucrose nonfermenting AMPK-related kinase (SNARK) mediates contraction-stimulated glucose transport in mouse skeletal muscle,Ho-Jin Koh; Taro Toyoda; Nobuharu Fujii; Michelle M. Jung; Amee Rathod; R. Jan-Willem Middelbeek; Sarah J. Lessard; Jonas T. Treebak; Katsuya Tsuchihara; Hiroyasu Esumi; Erik A. Richter; Jørgen F. P. Wojtaszewski; Michael F. Hirshman; and Laurie J. Goodyear,Ho-Jin Koh,August 31; 2010 ,Medical Sciences,45.0,0,0,0,0
1521,1521,1521,1521,Cancer-derived mutations in the regulatory subunit p85α of phosphoinositide 3-kinase function through the catalytic subunit p110α,Minghao Sun; Petra Hillmann; Bianca T. Hofmann; Jonathan R. Hart; and Peter K. Vogt,Minghao Sun,August 31; 2010 ,Medical Sciences,72.0,0,0,0,0
1522,1522,1522,1522,Inositol-requiring enzyme 1α is a key regulator of angiogenesis and invasion in malignant glioma,Gregor Auf; Arnaud Jabouille; Sylvaine Guérit; Raphaël Pineau; Maylis Delugin; Marion Bouchecareilh; Noël Magnin; Alexandre Favereaux; Marlène Maitre; Timo Gaiser; Andreas von Deimling; Marcus Czabanka; Peter Vajkoczy; Eric Chevet; Andreas Bikfalvi; and Michel Moenner,Gregor Auf,August 31; 2010 ,Medical Sciences,115.0,0,0,0,0
1523,1523,1523,1523,β1-integrin is dispensable for the induction of ErbB2 mammary tumors but plays a critical role in the metastatic phase of tumor progression,L. Huck; S. M. Pontier; D. M. Zuo; and W. J. Muller,L. Huck,August 31; 2010 ,Medical Sciences,71.0,0,0,0,0
1524,1524,1524,1524,NADPH oxidase 4 (Nox4) is a major source of oxidative stress in the failing heart,Junya Kuroda; Tetsuro Ago; Shouji Matsushima; Peiyong Zhai; Michael D. Schneider; and Junichi Sadoshima,Junya Kuroda,August 31; 2010 ,Medical Sciences,360.0,0,0,0,0
1525,1525,1525,1525,Extracellular superoxide dismutase protects against pulmonary emphysema by attenuating oxidative fragmentation of ECM,Hongwei Yao; Gnanapragasam Arunachalam; Jae-woong Hwang; Sangwoon Chung; Isaac K. Sundar; Vuokko L. Kinnula; James D. Crapo; and Irfan Rahman,Hongwei Yao,August 31; 2010 ,Medical Sciences,100.0,0,0,0,0
1526,1526,1526,1526,Local prolactin is a target to prevent expansion of basal/stem cells in prostate tumors,Vincent Rouet; Roman L. Bogorad; Christine Kayser; Karima Kessal; Catherine Genestie; Armelle Bardier; David R. Grattan; Bruce Kelder; John J. Kopchick; Paul A. Kelly; and Vincent Goffin,Vincent Rouet,August 24; 2010 ,Medical Sciences,51.0,0,0,0,0
1527,1527,1527,1527,Magnetic resonance monitoring of focused ultrasound/magnetic nanoparticle targeting delivery of therapeutic agents to the brain,Hao-Li Liu; Mu-Yi Hua; Hung-Wei Yang; Chiung-Yin Huang; Po-Chun Chu; Jia-Shin Wu; I-Chou Tseng; Jiun-Jie Wang; Tzu-Chen Yen; Pin-Yuan Chen; and Kuo-Chen Wei,Hao-Li Liu,August 24; 2010 ,Medical Sciences,226.0,0,0,0,0
1528,1528,1528,1528,Proangiogenic scaffolds as functional templates for cardiac tissue engineering,Lauran R. Madden; Derek J. Mortisen; Eric M. Sussman; Sarah K. Dupras; James A. Fugate; Janet L. Cuy; Kip D. Hauch; Michael A. Laflamme; Charles E. Murry; and Buddy D. Ratner,Lauran R. Madden,August 24; 2010 ,Medical Sciences,268.0,0,0,0,0
1529,1529,1529,1529,De novo generation of white adipocytes from the myeloid lineage via mesenchymal intermediates is age; adipose depot; and gender specific,Susan M. Majka; Keith E. Fox; John C. Psilas; Karen M. Helm; Christine R. Childs; Alistaire S. Acosta; Rachel C. Janssen; Jacob E. Friedman; Brian T. Woessner; Theodore R. Shade; Marileila Varella-Garcia; and Dwight J. Klemm,Susan M. Majka,August 17; 2010 ,Medical Sciences,78.0,0,0,0,0
1530,1530,1530,1530,Evidence of intense ongoing endemic transmission of hepatitis C virus in Egypt,F. DeWolfe Miller and Laith J. Abu-Raddad,F. DeWolfe Miller,August 17; 2010 ,Medical Sciences,104.0,0,0,0,0
1531,1531,1531,1531,Estrogen-dependent gallbladder carcinogenesis in LXRβ−/− female mice,Chiara Gabbi; Hyun-Jin Kim; Rodrigo Barros; Marion Korach-Andrè; Margaret Warner; and Jan-Åke Gustafsson,Chiara Gabbi,August 17; 2010 ,Medical Sciences,34.0,0,0,0,0
1532,1532,1532,1532,Combining antiangiogenic therapy with immunotherapy exerts better therapeutical effects on large tumors in a woodchuck hepatoma model,Kai-Wen Huang; Hui-Lin Wu; Hsiu-Lin Lin; Po-Chin Liang; Pei-Jer Chen; Shih-Hui Chen; Hsin-I Lee; Pei-Yi Su; Wen-Hsuan Wu; Po-Huang Lee; Lih-Hwa Hwang; and Ding-Shinn Chen,Kai-Wen Huang,August 17; 2010 ,Medical Sciences,21.0,0,0,0,0
1533,1533,1533,1533,A canine Arylsulfatase G (ARSG) mutation leading to a sulfatase deficiency is associated with neuronal ceroid lipofuscinosis,Marie Abitbol; Jean-Laurent Thibaud; Natasha J. Olby; Christophe Hitte; Jean-Philippe Puech; Marie Maurer; Fanny Pilot-Storck; Benoit Hédan; Stéphane Dréano; Sandra Brahimi; Delphine Delattre; Catherine André; Françoise Gray; Françoise Delisle; Catherine Caillaud; Florence Bernex; Jean-Jacques Panthier; Geneviève Aubin-Houzelstein; Stéphane Blot; and Laurent Tiret,Marie Abitbol,August 17; 2010 ,Medical Sciences,46.0,0,0,0,0
1534,1534,1534,1534,Microfluidic sorting and multimodal typing of cancer cells in self-assembled magnetic arrays,Antoine-Emmanuel Saliba; Laure Saias; Eleni Psychari; Nicolas Minc; Damien Simon; François-Clément Bidard; Claire Mathiot; Jean-Yves Pierga; Vincent Fraisier; Jean Salamero; Véronique Saada; Françoise Farace; Philippe Vielh; Laurent Malaquin; and Jean-Louis Viovy,Antoine-Emmanuel Saliba,August 17; 2010 ,Medical Sciences,174.0,0,0,0,0
1535,1535,1535,1535,Cardioprotection by a nonerythropoietic; tissue-protective peptide mimicking the 3D structure of erythropoietin,Hiroto Ueba; Michael Brines; Michael Yamin; Tomio Umemoto; Junya Ako; Shin-ichi Momomura; Anthony Cerami; and Masanobu Kawakami,Hiroto Ueba,August 10; 2010 ,Medical Sciences,30.0,0,0,0,0
1536,1536,1536,1536,Viral G protein-coupled receptor up-regulates Angiopoietin-like 4 promoting angiogenesis and vascular permeability in Kaposi's sarcoma,Tao Ma; Bruno C. Jham; Jiadi Hu; Eitan R. Friedman; John R. Basile; Alfredo Molinolo; Akrit Sodhi; and Silvia Montaner,Tao Ma,August 10; 2010 ,Medical Sciences,66.0,0,0,0,0
1537,1537,1537,1537,Inhibition of Wnt/β-catenin/CREB binding protein (CBP) signaling reverses pulmonary fibrosis,William R. Henderson Jr.; Emil Y. Chi; Xin Ye; Cu Nguyen; Ying-tzang Tien; Beiyun Zhou; Zea Borok; Darryl A. Knight; and Michael Kahn,William R. Henderson Jr.,August 10; 2010 ,Medical Sciences,242.0,0,0,0,0
1538,1538,1538,1538,Spatio-temporal oscillations of individual mitochondria in cardiac myocytes reveal modulation of synchronized mitochondrial clusters,Felix T. Kurz; Miguel A. Aon; Brian O'Rourke; and Antonis A. Armoundas,Felix T. Kurz,August 10; 2010 ,Medical Sciences,47.0,0,0,0,0
1539,1539,1539,1539,D-peptide inhibitors of the p53–MDM2 interaction for targeted molecular therapy of malignant neoplasms,Min Liu; Chong Li; Marzena Pazgier; Changqing Li; Yubin Mao; Yifan Lv; Bing Gu; Gang Wei; Weirong Yuan; Changyou Zhan; Wei-Yue Lu; and Wuyuan Lu,Min Liu,August 10; 2010 ,Medical Sciences,100.0,0,0,0,0
1540,1540,1540,1540,Myocytic androgen receptor controls the strength but not the mass of limb muscles,Céline Chambon; Delphine Duteil; Alban Vignaud; Arnaud Ferry; Nadia Messaddeq; Rocco Malivindi; Shigeaki Kato; Pierre Chambon; and Daniel Metzger,Céline Chambon,August 10; 2010 ,Medical Sciences,50.0,0,0,0,0
