title,authors,firstAuthor,date,category,citationNumber
Pain perception is altered by a nucleotide polymorphism in SCN9A,Frank Reimann; James J. Cox; Inna Belfer; Luda Diatchenko; Dmitri V. Zaykin; Duncan P. McHale; Joost P. H. Drenth; Feng Dai; Jerry Wheeler; Frances Sanders; Linda Wood; Tian-Xia Wu; Jaro Karppinen; Lone Nikolajsen; Minna Männikkö; Mitchell B. Max; Carly Kiselycznyk; Minakshi Poddar; Rene H.M. te Morsche; Shad Smith; Dustin Gibson; Anthi Kelempisioti; William Maixner; Fiona M. Gribble; and C. Geoffrey Woods,Frank Reimann,March 16; 2010 ,Medical Sciences,162
Activin A promotes multiple myeloma-induced osteolysis and is a promising target for myeloma bone disease,Sonia Vallet; Siddhartha Mukherjee; Nileshwari Vaghela; Teru Hideshima; Mariateresa Fulciniti; Samantha Pozzi; Loredana Santo; Diana Cirstea; Kishan Patel; Aliyah R. Sohani; Alex Guimaraes; Wanling Xie; Dharminder Chauhan; Jesse A. Schoonmaker; Eyal Attar; Michael Churchill; Edie Weller; Nikhil Munshi; Jasbir S. Seehra; Ralph Weissleder; Kenneth C. Anderson; David T. Scadden; and Noopur Raje,Sonia Vallet,March 16; 2010 ,Medical Sciences,124
Leptin therapy in insulin-deficient type I diabetes,May-yun Wang; Lijun Chen; Gregory O. Clark; Young Lee; Robert D. Stevens; Olga R. Ilkayeva; Brett R. Wenner; James R. Bain; Maureen J. Charron; Christopher B. Newgard; and Roger H. Unger,May-yun Wang,March 16; 2010 ,Medical Sciences,188
Negative feedback control of HIF-1 through REDD1-regulated ROS suppresses tumorigenesis,Peter Horak; Andrew R. Crawford; Douangsone D. Vadysirisack; Zachary M. Nash; M. Phillip DeYoung; Dennis Sgroi; and Leif W. Ellisen,Peter Horak,March 9; 2010 ,Medical Sciences,88
Tissue-engineered vascular grafts transform into mature blood vessels via an inflammation-mediated process of vascular remodeling,Jason D. Roh; Rajendra Sawh-Martinez; Matthew P. Brennan; Steven M. Jay; Lesley Devine; Deepak A. Rao; Tai Yi; Tamar L. Mirensky; Ani Nalbandian; Brooks Udelsman; Narutoshi Hibino; Toshiharu Shinoka; W. Mark Saltzman; Edward Snyder; Themis R. Kyriakides; Jordan S. Pober; and Christopher K. Breuer,Jason D. Roh,March 9; 2010 ,Medical Sciences,249
Disruption of angiogenesis and tumor growth with an orally active drug that stabilizes the inactive state of PDGFRβ/B-RAF,Eric A. Murphy; David J. Shields; Konstantin Stoletov; Elena Dneprovskaia; Michele McElroy; Joshua I. Greenberg; Jeff Lindquist; Lisette M. Acevedo; Sudarshan Anand; Bharat Kumar Majeti; Igor Tsigelny; Adrian Saldanha; Breda Walsh; Robert M. Hoffman; Michael Bouvet; Richard L. Klemke; Peter K. Vogt; Lee Arnold; Wolfgang Wrasidlo; and David A. Cheresh,Eric A. Murphy,March 2; 2010 ,Medical Sciences,36
Islet amyloid deposition limits the viability of human islet grafts but not porcine islet grafts,K. J. Potter; A. Abedini; P. Marek; A. M. Klimek; S. Butterworth; M. Driscoll; R. Baker; M. R. Nilsson; G. L. Warnock; J. Oberholzer; S. Bertera; M. Trucco; G. S. Korbutt; P. E. Fraser; D. P. Raleigh; and C. B. Verchere,K. J. Potter,March 2; 2010 ,Medical Sciences,104
Activatable cell penetrating peptides linked to nanoparticles as dual probes for in vivo fluorescence and MR imaging of proteases,Emilia S. Olson; Tao Jiang; Todd A. Aguilera; Quyen T. Nguyen; Lesley G. Ellies; Miriam Scadeng; and Roger Y. Tsien,Emilia S. Olson,March 2; 2010 ,Medical Sciences,347
Surgery with molecular fluorescence imaging using activatable cell-penetrating peptides decreases residual cancer and improves survival,Quyen T. Nguyen; Emilia S. Olson; Todd A. Aguilera; Tao Jiang; Miriam Scadeng; Lesley G. Ellies; and Roger Y. Tsien,Quyen T. Nguyen,March 2; 2010 ,Medical Sciences,305
High-risk neuroblastoma tumors with 11q-deletion display a poor prognostic; chromosome instability phenotype with later onset,Helena Carén; Hanna Kryh; Maria Nethander; Rose-Marie Sjöberg; Catarina Träger; Staffan Nilsson; Jonas Abrahamsson; Per Kogner; and Tommy Martinsson,Helena Carén,March 2; 2010 ,Medical Sciences,88
Loss of myeloid cell-derived vascular endothelial growth factor accelerates fibrosis,Christian Stockmann; Yann Kerdiles; Marc Nomaksteinsky; Alexander Weidemann; Norihiko Takeda; Andrew Doedens; Antonio X. Torres-Collado; Luisa Iruela-Arispe; Victor Nizet; and Randall S. Johnson,Christian Stockmann,March 2; 2010 ,Medical Sciences,39
Neural differentiation of human induced pluripotent stem cells follows developmental principles but with variable potency,Bao-Yang Hu; Jason P. Weick; Junying Yu; Li-Xiang Ma; Xiao-Qing Zhang; James A. Thomson; and Su-Chun Zhang,Bao-Yang Hu,March 2; 2010 ,Medical Sciences,584
Vaccination with partial knowledge of external effectiveness,Charles F. Manski,Charles F. Manski,March 2; 2010 ,Medical Sciences,13
Systemic antiangiogenic activity of cationic poly-L-lysine dendrimer delays tumor growth,Khuloud T. Al-Jamal; Wafa’ T. Al-Jamal; Simon Akerman; Jennifer E. Podesta; Açelya Yilmazer; John A. Turton; Alberto Bianco; Neil Vargesson; Chryso Kanthou; Alexander T. Florence; Gillian M. Tozer; and Kostas Kostarelos,Khuloud T. Al-Jamal,March 2; 2010 ,Medical Sciences,45
Cancer stem cells from colorectal cancer-derived cell lines,Trevor M. Yeung; Shaan C. Gandhi; Jennifer L. Wilding; Ruth Muschel; and Walter F. Bodmer,Trevor M. Yeung,February 23; 2010 ,Medical Sciences,222
LXR modulation blocks prostaglandin E2 production and matrix degradation in cartilage and alleviates pain in a rat osteoarthritis model,Ning Li; Moisés A. Rivéra-Bermúdez; Mei Zhang; Julio Tejada; Sonya S. Glasson; Lisa A. Collins-Racie; Edward R. LaVallie; Yihe Wang; Ken C. N. Chang; Sunil Nagpal; Elisabeth A. Morris; Carl R. Flannery; and Zhiyong Yang,Ning Li,February 23; 2010 ,Medical Sciences,46
PML/RARα fusion protein transactivates the tissue factor promoter through a GAGC-containing element without direct DNA association,Jinsong Yan; Kankan Wang; Leiming Dong; Hongchen Liu; Weiqin Chen; Wenda Xi; Qiulan Ding; Nelly Kieffer; Jacques P. Caen; Saijuan Chen; Zhu Chen; and Xiaodong Xi,Jinsong Yan,February 23; 2010 ,Medical Sciences,15
Defining the ATM-mediated barrier to tumorigenesis in somatic mammary cells following ErbB2 activation,Jay P. Reddy; Sirisha Peddibhotla; Wen Bu; Jing Zhao; Svasti Haricharan; Yi-Chieh Nancy Du; Katrina Podsypanina; Jeffrey M. Rosen; Larry A. Donehower; and Yi Li,Jay P. Reddy,February 23; 2010 ,Medical Sciences,35
X chromosome-wide analyses of genomic DNA methylation states and gene expression in male and female neutrophils,Yukio Yasukochi; Osamu Maruyama; Milind C. Mahajan; Carolyn Padden; Ghia M. Euskirchen; Vincent Schulz; Hideki Hirakawa; Satoru Kuhara; Xing-Hua Pan; Peter E. Newburger; Michael Snyder; and Sherman M. Weissman,Yukio Yasukochi,February 23; 2010 ,Medical Sciences,21
Prolonged sensory-selective nerve blockade,Itay Sagie and Daniel S. Kohane,Itay Sagie,February 23; 2010 ,Medical Sciences,20
Aberrant overexpression and function of the miR-17-92 cluster in MLL-rearranged acute leukemia,Shuangli Mi; Zejuan Li; Ping Chen; Chunjiang He; Donglin Cao; Abdel Elkahloun; Jun Lu; Luis A. Pelloso; Mark Wunderlich; Hao Huang; Roger T. Luo; Miao Sun; Miao He; Mary Beth Neilly; Nancy J. Zeleznik-Le; Michael J. Thirman; James C. Mulloy; Paul P. Liu; Janet D. Rowley; and Jianjun Chen,Shuangli Mi,February 23; 2010 ,Medical Sciences,84
COUP-TFII regulates tumor growth and metastasis by modulating tumor angiogenesis,Jun Qin; Xinpu Chen; Xin Xie; Ming-Jer Tsai; and Sophia Y. Tsai,Jun Qin,February 23; 2010 ,Medical Sciences,58
MYC regulation of a “poor-prognosis” metastatic cancer cell state,Anita Wolfer; Ben S. Wittner; Daniel Irimia; Richard J. Flavin; Mathieu Lupien; Ruwanthi N. Gunawardane; Clifford A. Meyer; Eric S. Lightcap; Pablo Tamayo; Jill P. Mesirov; X. Shirley Liu; Toshi Shioda; Mehmet Toner; Massimo Loda; Myles Brown; Joan S. Brugge; and Sridhar Ramaswamy,Anita Wolfer,February 23; 2010 ,Medical Sciences,85
Molecular MRI for sensitive and specific detection of lung metastases,Rosa T. Branca; Zackary I. Cleveland; Boma Fubara; Challa S. S. R. Kumar; Robert R. Maronpot; Carola Leuschner; Warren S. Warren; and Bastiaan Driehuys,Rosa T. Branca,February 23; 2010 ,Medical Sciences,67
Bioengineered corporal tissue for structural and functional restoration of the penis,Kuo-Liang Chen; Daniel Eberli; James J. Yoo; and Anthony Atala,Kuo-Liang Chen,February 23; 2010 ,Medical Sciences,40
Engineering anatomically shaped human bone grafts,Warren L. Grayson; Mirjam Fröhlich; Keith Yeager; Sarindr Bhumiratana; M. Ete Chan; Christopher Cannizzaro; Leo Q. Wan; X. Sherry Liu; X. Edward Guo; and Gordana Vunjak-Novakovic,Warren L. Grayson,February 23; 2010 ,Medical Sciences,210
Functional muscle regeneration with combined delivery of angiogenesis and myogenesis factors,Cristina Borselli; Hannah Storrie; Frank Benesch-Lee; Dmitry Shvartsman; Christine Cezar; Jeff W. Lichtman; Herman H. Vandenburgh; and David J. Mooney,Cristina Borselli,February 23; 2010 ,Medical Sciences,185
ACAT1 gene ablation increases 24(S)-hydroxycholesterol content in the brain and ameliorates amyloid pathology in mice with AD,Elena Y. Bryleva; Maximillian A. Rogers; Catherine C.Y. Chang; Floyd Buen; Brent T. Harris; Estelle Rousselet; Nabil G. Seidah; Salvatore Oddo; Frank M. LaFerla; Thomas A. Spencer; William F. Hickey; and Ta-Yuan Chang,Elena Y. Bryleva,February 16; 2010 ,Medical Sciences,89
Targeted disruption of the CREB coactivator Crtc2 increases insulin sensitivity,Yiguo Wang; Hiroshi Inoue; Kim Ravnskjaer; Kristin Viste; Nina Miller; Yi Liu; Susan Hedrick; Liliana Vera; and Marc Montminy,Yiguo Wang,February 16; 2010 ,Medical Sciences,79
Expression of cancer testis antigen CT45 in classical Hodgkin lymphoma and other B-cell lymphomas,Yao-Tseng Chen; Amy Chadburn; Peishan Lee; Melinda Hsu; Erika Ritter; April Chiu; Sacha Gnjatic; Michael Pfreundschuh; Daniel M. Knowles; and Lloyd J. Old,Yao-Tseng Chen,February 16; 2010 ,Medical Sciences,23
Delivery of foreign antigens by engineered outer membrane vesicle vaccines,David J. Chen; Nikolaus Osterrieder; Stephan M. Metzger; Elizabeth Buckles; Anne M. Doody; Matthew P. DeLisa; and David Putnam,David J. Chen,February 16; 2010 ,Medical Sciences,102
Recessive mutations in the INS gene result in neonatal diabetes through reduced insulin biosynthesis,Intza Garin; Emma L. Edghill; Ildem Akerman; Oscar Rubio-Cabezas; Itxaso Rica; Jonathan M. Locke; Miguel Angel Maestro; Adnan Alshaikh; Ruveyde Bundak; Gabriel del Castillo; Asma Deeb; Dorothee Deiss; Juan M. Fernandez; Koumudi Godbole; Khalid Hussain; Michele O’Connell; Thomasz Klupa; Stanislava Kolouskova; Fauzia Mohsin; Kusiel Perlman; Zdenek Sumnik; Jose M. Rial; Estibaliz Ugarte; Thiruvengadam Vasanthi; Neonatal Diabetes International Group; Karen Johnstone; Sarah E. Flanagan; Rosa Martínez; Carlos Castaño; Ann-Marie Patch; Eduardo Fernández-Rebollo; Klemens Raile; Noel Morgan; Lorna W. Harries; Luis Castaño; Sian Ellard; Jorge Ferrer; Guiomar Perez de Nanclares; and Andrew T. Hattersley,Intza Garin,February 16; 2010 ,Medical Sciences,74
Targeting of SMAD5 links microRNA-155 to the TGF-β pathway and lymphomagenesis,Deepak Rai; Sang-Woo Kim; Morgan R. McKeller; Patricia L. M. Dahia; and Ricardo C. T. Aguiar,Deepak Rai,February 16; 2010 ,Medical Sciences,135
Blimp1-mediated repression of negative regulators is required for osteoclast differentiation,Keizo Nishikawa; Tomoki Nakashima; Mikihito Hayashi; Takanobu Fukunaga; Shigeaki Kato; Tatsuhiko Kodama; Satoru Takahashi; Kathryn Calame; and Hiroshi Takayanagi,Keizo Nishikawa,February 16; 2010 ,Medical Sciences,80
Estrogen receptor–β activated apoptosis in benign hyperplasia and cancer of the prostate is androgen independent and TNFα mediated,Stephen J. McPherson; Shirin Hussain; Preetika Balanathan; Shelley L. Hedwards; Birunthi Niranjan; Michael Grant; Upeksha P. Chandrasiri; Roxanne Toivanen; Yuzhuo Wang; Renea A. Taylor; and Gail P. Risbridger,Stephen J. McPherson,February 16; 2010 ,Medical Sciences,120
Identification and functional characterization of paxillin as a target of protein tyrosine phosphatase receptor T,Yiqing Zhao; Xiaodong Zhang; Kishore Guda; Earl Lawrence; Qun Sun; Toshio Watanabe; Yoichiro Iwakura; Masahide Asano; Lanlan Wei; Zhirong Yang; Weiping Zheng; Dawn Dawson; Joseph Willis; Sanford D. Markowitz; Masanobu Satake; and Zhenghe Wang,Yiqing Zhao,February 9; 2010 ,Medical Sciences,46
Genetic inactivation of AKT1; AKT2; and PDPK1 in human colorectal cancer cells clarifies their roles in tumor growth regulation,Kajsa Ericson; Christine Gan; Ian Cheong; Carlo Rago; Yardena Samuels; Victor E. Velculescu; Kenneth W. Kinzler; David L. Huso; Bert Vogelstein; and Nickolas Papadopoulos,Kajsa Ericson,February 9; 2010 ,Medical Sciences,70
Cardioprotective effects of growth hormone-releasing hormone agonist after myocardial infarction,Rosemeire M. Kanashiro-Takeuchi; Konstantinos Tziomalos; Lauro M. Takeuchi; Adriana V. Treuer; Guillaume Lamirault; Raul Dulce; Michael Hurtado; Yun Song; Norman L. Block; Ferenc Rick; Anna Klukovits; Qinghua Hu; Jozsef L. Varga; Andrew V. Schally; and Joshua M. Hare,Rosemeire M. Kanashiro-Takeuchi,February 9; 2010 ,Medical Sciences,60
Basal epithelial stem cells are efficient targets for prostate cancer initiation,Devon A. Lawson; Yang Zong; Sanaz Memarzadeh; Li Xin; Jiaoti Huang; and Owen N. Witte,Devon A. Lawson,February 9; 2010 ,Medical Sciences,156
Mutant EGFR is required for maintenance of glioma growth in vivo; and its ablation leads to escape from receptor dependence,Akitake Mukasa; Jill Wykosky; Keith L. Ligon; Lynda Chin; Webster K. Cavenee; and Frank Furnari,Akitake Mukasa,February 9; 2010 ,Medical Sciences,42
HUNK suppresses metastasis of basal type breast cancers by disrupting the interaction between PP2A and cofilin-1,Miguel Quintela-Fandino; Enrico Arpaia; Dirk Brenner; Theo Goh; Faith Au Yeung; Heiko Blaser; Roumiana Alexandrova; Evan F. Lind; Mike W. Tusche; Andrew Wakeham; Pamela S. Ohashi; and Tak W. Mak,Miguel Quintela-Fandino,February 9; 2010 ,Medical Sciences,26
Symplekin promotes tumorigenicity by up-regulating claudin-2 expression,Michael Buchert; Marina Papin; Caroline Bonnans; Charbel Darido; Warren S. Raye; Véronique Garambois; André Pélegrin; Jean-François Bourgaux; Julie Pannequin; Dominique Joubert; and Frédéric Hollande,Michael Buchert,February 9; 2010 ,Medical Sciences,39
Evidence for a functional role of IgE anticitrullinated protein antibodies in rheumatoid arthritis,A. J. M. Schuerwegh; A. Ioan-Facsinay; A. L. Dorjée; J. Roos; I. M. Bajema; E. I. H. van der Voort; T. W. J. Huizinga; and R. E. M. Toes,A. J. M. Schuerwegh,February 9; 2010 ,Medical Sciences,58
Stromal genes discriminate preinvasive from invasive disease; predict outcome; and highlight inflammatory pathways in digestive cancers,Amel Saadi; Nicholas B. Shannon; Pierre Lao-Sirieix; Maria O’Donovan; Elaine Walker; Nicholas J. Clemons; James S. Hardwick; Chunsheng Zhang; Madhumita Das; Vicki Save; Marco Novelli; Frances Balkwill; and Rebecca C. Fitzgerald,Amel Saadi,February 2; 2010 ,Medical Sciences,90
Integrative genome analysis reveals an oncomir/oncogene cluster regulating glioblastoma survivorship,Hyunsoo Kim; Wei Huang; Xiuli Jiang; Brenton Pennicooke; Peter J. Park; and Mark D. Johnson,Hyunsoo Kim,February 2; 2010 ,Medical Sciences,146
RBBP9: A tumor-associated serine hydrolase activity required for pancreatic neoplasia,David J. Shields; Sherry Niessen; Eric A. Murphy; Ainhoa Mielgo; Jay S. Desgrosellier; Steven K. M. Lau; Leo A. Barnes; Jacqueline Lesperance; Michael Bouvet; David Tarin; Benjamin F. Cravatt; and David A. Cheresh,David J. Shields,February 2; 2010 ,Medical Sciences,32
Microenvironmental modulation of asymmetric cell division in human lung cancer cells,Sharon R. Pine; Bríd M. Ryan; Lyuba Varticovski; Ana I. Robles; and Curtis C. Harris,Sharon R. Pine,February 2; 2010 ,Medical Sciences,84
Inhibition of poly(ADP-ribose) polymerase down-regulates BRCA1 and RAD51 in a pathway mediated by E2F4 and p130,Denise Campisi Hegan; Yuhong Lu; Gregory C. Stachelek; Meredith E. Crosby; Ranjit S. Bindra; and Peter M. Glazer,Denise Campisi Hegan,February 2; 2010 ,Medical Sciences,100
Accelerated carcinogenesis following liver regeneration is associated with chronic inflammation-induced double-strand DNA breaks,Hila Barash; Eitan R. Gross; Yifat Edrei; Ezra Ella; Ariel Israel; Irit Cohen; Nathalie Corchia; Tehila Ben-Moshe; Orit Pappo; Eli Pikarsky; Daniel Goldenberg; Yosef Shiloh; Eithan Galun; and Rinat Abramovitch,Hila Barash,February 2; 2010 ,Medical Sciences,66
Spatiotemporal controlled delivery of nanoparticles to injured vasculature,Juliana M. Chan; Liangfang Zhang; Rong Tong; Debuyati Ghosh; Weiwei Gao; Grace Liao; Kai P. Yuet; David Gray; June-Wha Rhee; Jianjun Cheng; Gershon Golomb; Peter Libby; Robert Langer; and Omid C. Farokhzad,Juliana M. Chan,February 2; 2010 ,Medical Sciences,148
MYCN-regulated microRNAs repress estrogen receptor-α (ESR1) expression and neuronal differentiation in human neuroblastoma,Jakob Lovén; Nikolay Zinin; Therese Wahlström; Inga Müller; Petter Brodin; Erik Fredlund; Ulf Ribacke; Andor Pivarcsi; Sven Påhlman; and Marie Henriksson,Jakob Lovén,January 26; 2010 ,Medical Sciences,0
Leaky RyR2 trigger ventricular arrhythmias in Duchenne muscular dystrophy,Jérémy Fauconnier; Jérôme Thireau; Steven Reiken; Cécile Cassan; Sylvain Richard; Stefan Matecki; Andrew R. Marks; and Alain Lacampagne,Jérémy Fauconnier,January 26; 2010 ,Medical Sciences,101
Development of a mouse model for sporadic and metastatic colon tumors and its use in assessing drug treatment,Kenneth E. Hung; Marco A. Maricevich; Larissa Georgeon Richard; Wei Y. Chen; Michael P. Richardson; Alexandra Kunin; Roderick T. Bronson; Umar Mahmood; and Raju Kucherlapati,Kenneth E. Hung,January 26; 2010 ,Medical Sciences,109
A plasma signature of human mitochondrial disease revealed through metabolic profiling of spent media from cultured muscle cells,Oded Shaham; Nancy G. Slate; Olga Goldberger; Qiuwei Xu; Arvind Ramanathan; Amanda L. Souza; Clary B. Clish; Katherine B. Sims; and Vamsi K. Mootha,Oded Shaham,January 26; 2010 ,Medical Sciences,73
Vesicular stomatitis virus oncolysis is potentiated by impairing mTORC1-dependent type I IFN production,Tommy Alain; XueQing Lun; Yvan Martineau; Polen Sean; Bali Pulendran; Emmanuel Petroulakis; Franz J. Zemp; Chantal G. Lemay; Dominic Roy; John C. Bell; George Thomas; Sara C. Kozma; Peter A. Forsyth; Mauro Costa-Mattioli; and Nahum Sonenberg,Tommy Alain,January 26; 2010 ,Medical Sciences,79
Cocaine is pharmacologically active in the nonhuman primate fetal brain,Helene Benveniste; Joanna S. Fowler; William D. Rooney; Bruce A. Scharf; W. Walter Backus; Igor Izrailtyan; Gitte M. Knudsen; Steen G. Hasselbalch; and Nora D. Volkow,Helene Benveniste,January 26; 2010 ,Medical Sciences,6
Chiral porphyrazine near-IR optical imaging agent exhibiting preferential tumor accumulation,Evan R. Trivedi; Allison S. Harney; Mary B. Olive; Izabela Podgorski; Kamiar Moin; Bonnie F. Sloane; Anthony G.M. Barrett; Thomas J. Meade; and Brian M. Hoffman,Evan R. Trivedi,January 26; 2010 ,Medical Sciences,41
Genetic variation in human telomerase is associated with telomere length in Ashkenazi centenarians,Gil Atzmon; Miook Cho; Richard M. Cawthon; Temuri Budagov; Micol Katz; Xiaoman Yang; Glenn Siegel; Aviv Bergman; Derek M. Huffman; Clyde B. Schechter; Woodring E. Wright; Jerry W. Shay; Nir Barzilai; Diddahally R. Govindaraju; and Yousin Suh,Gil Atzmon,January 26; 2010 ,Medical Sciences,128
Evolutionary perspectives on health and medicine,Stephen C. Stearns; Randolph M. Nesse; Diddahally R. Govindaraju; and Peter T. Ellison,Stephen C. Stearns,January 26; 2010 ,Medical Sciences,43
A bicomponent Plasmodium falciparum investigational vaccine composed of protein-peptide conjugates,Joanna Kubler-Kielb; Fathy Majadly; Zuzana Biesova; Christopher P. Mocca; Chunyan Guo; Ruth Nussenzweig; Victor Nussenzweig; Satish Mishra; Yimin Wu; Louis H. Miller; Jerry M. Keith; Teh-Yung Liu; John B. Robbins; and Rachel Schneerson,Joanna Kubler-Kielb,January 19; 2010 ,Medical Sciences,21
A gene therapy approach for long-term normalization of blood pressure in hypertensive mice by ANP-secreting human skin grafts,Jean-Philippe Therrien; Soo Mi Kim; Atsushi Terunuma; Yan Qin; Christine L. Tock; Wolfgang Pfützner; Manabu Ohyama; Jurgen Schnermann; and Jonathan C. Vogel,Jean-Philippe Therrien,January 19; 2010 ,Medical Sciences,9
Cooperative nanomaterial system to sensitize; target; and treat tumors,Ji-Ho Park; Geoffrey von Maltzahn; Mary Jue Xu; Valentina Fogal; Venkata Ramana Kotamraju; Erkki Ruoslahti; Sangeeta N. Bhatia; and Michael J. Sailor,Ji-Ho Park,January 19; 2010 ,Medical Sciences,198
Loss of autophagy in erythroid cells leads to defective removal of mitochondria and severe anemia in vivo,M. Mortensen; D.J.P. Ferguson; M. Edelmann; B. Kessler; K.J. Morten; M. Komatsu; and A.K. Simon,M. Mortensen,January 12; 2010 ,Medical Sciences,186
Efficacy of ST-246 versus lethal poxvirus challenge in immunodeficient mice,Douglas W. Grosenbach; Aklile Berhanu; David S. King; Stacie Mosier; Kevin F. Jones; Robert A. Jordan; Tove’ C. Bolken; and Dennis E. Hruby,Douglas W. Grosenbach,January 12; 2010 ,Medical Sciences,31
Disruption of TAK1 in hepatocytes causes hepatic injury; inflammation; fibrosis; and carcinogenesis,Sayaka Inokuchi; Tomonori Aoyama; Kouichi Miura; Christoph H. Österreicher; Yuzo Kodama; Katsumi Miyai; Shizuo Akira; David A. Brenner; and Ekihiro Seki,Sayaka Inokuchi,January 12; 2010 ,Medical Sciences,144
AP-1 homolog BZLF1 of Epstein–Barr virus has two essential functions dependent on the epigenetic state of the viral genome,Markus Kalla; Anne Schmeinck; Martin Bergbauer; Dagmar Pich; and Wolfgang Hammerschmidt,Markus Kalla,January 12; 2010 ,Medical Sciences,81
VEGFR1–mediated pericyte ablation links VEGF and PlGF to cancer-associated retinopathy,Renhai Cao; Yuan Xue; Eva-Maria Hedlund; Zhaodong Zhong; Katerina Tritsaris; Barbara Tondelli; Franco Lucchini; Zhenping Zhu; Steen Dissing; and Yihai Cao,Renhai Cao,January 12; 2010 ,Medical Sciences,63
Distinct defects in collagen microarchitecture underlie vessel-wall failure in advanced abdominal aneurysms and aneurysms in Marfan syndrome,Jan H. N. Lindeman; Brian A. Ashcroft; Jan-Willem M. Beenakker; Maarten van Es; Nico B. R. Koekkoek; Frans A. Prins; Jarl F. Tielemans; Hazem Abdul-Hussien; Ruud A. Bank; and Tjerk H. Oosterkamp,Jan H. N. Lindeman,January 12; 2010 ,Medical Sciences,73
Involvement of the Toll-like receptor 4 pathway and use of TNF-α antagonists for treatment of the mucopolysaccharidoses,Calogera M. Simonaro; Yi Ge; Efrat Eliyahu; Xingxuan He; Karl J. Jepsen; and Edward H. Schuchman,Calogera M. Simonaro,January 5; 2010 ,Medical Sciences,74
miR-221 overexpression contributes to liver tumorigenesis,Pascal Pineau; Stefano Volinia; Katherine McJunkin; Agnès Marchio; Carlo Battiston; Benoît Terris; Vincenzo Mazzaferro; Scott W. Lowe; Carlo M. Croce; and Anne Dejean,Pascal Pineau,January 5; 2010 ,Medical Sciences,436
Functional screening identifies CRLF2 in precursor B-cell acute lymphoblastic leukemia,Akinori Yoda; Yuka Yoda; Sabina Chiaretti; Michal Bar-Natan; Kartik Mani; Scott J. Rodig; Nathan West; Yun Xiao; Jennifer R. Brown; Constantine Mitsiades; Martin Sattler; Jeffrey L. Kutok; Daniel J. DeAngelo; Martha Wadleigh; Alfonso Piciocchi; Paola Dal Cin; James E. Bradner; James D. Griffin; Kenneth C. Anderson; Richard M. Stone; Jerome Ritz; Robin Foà; Jon C. Aster; David A. Frank; and David M. Weinstock,Akinori Yoda,January 5; 2010 ,Medical Sciences,172
Mutant p53 drives metastasis and overcomes growth arrest/senescence in pancreatic cancer,Jennifer P. Morton; Paul Timpson; Saadia A. Karim; Rachel A. Ridgway; Dimitris Athineos; Brendan Doyle; Nigel B. Jamieson; Karin A. Oien; Andrew M. Lowy; Valerie G. Brunton; Margaret C. Frame; T. R. Jeffry Evans; and Owen J. Sansom,Jennifer P. Morton,January 5; 2010 ,Medical Sciences,243
Inflammation and adipose tissue macrophages in lipodystrophic mice,Laura Herrero; Hagit Shapiro; Ali Nayer; Jongsoon Lee; and Steven E. Shoelson,Laura Herrero,January 5; 2010 ,Medical Sciences,82
Homozygous frameshift mutation in TMCO1 causes a syndrome with craniofacial dysmorphism; skeletal anomalies; and mental retardation,Baozhong Xin; Erik G. Puffenberger; Susan Turben; Haiyan Tan; Aimin Zhou; and Heng Wang,Baozhong Xin,January 5; 2010 ,Medical Sciences,27
The bacterial signal indole increases epithelial-cell tight-junction resistance and attenuates indicators of inflammation,Tarun Bansal; Robert C. Alaniz; Thomas K. Wood; and Arul Jayaraman,Tarun Bansal,January 5; 2010 ,Medical Sciences,176
Stochastic fate of p53-mutant epidermal progenitor cells is tilted toward proliferation by UV B during preneoplasia,Allon M. Klein; Douglas E. Brash; Philip H. Jones; and Benjamin D. Simons,Allon M. Klein,January 5; 2010 ,Medical Sciences,47
DNA methylation of developmental genes in pediatric medulloblastomas identified by denaturation analysis of methylation differences,Scott J. Diede; Jamie Guenthoer; Linda N. Geng; Sarah E. Mahoney; Michael Marotta; James M. Olson; Hisashi Tanaka; and Stephen J. Tapscott,Scott J. Diede,January 5; 2010 ,Medical Sciences,38
Structure of a core fragment of glycoprotein H from pseudorabies virus in complex with antibody,Marija Backovic; Rebecca M. DuBois; Joseph J. Cockburn; Andrew J. Sharff; Marie-Christine Vaney; Harald Granzow; Barbara G. Klupp; Gerard Bricogne; Thomas C. Mettenleiter; and Felix A. Rey,Marija Backovic,December 28; 2010 ,Microbiology,54
Crystal structure of the Epstein-Barr virus (EBV) glycoprotein H/glycoprotein L (gH/gL) complex,Hisae Matsuura; Austin N. Kirschner; Richard Longnecker; and Theodore S. Jardetzky,Hisae Matsuura,December 28; 2010 ,Microbiology,92
Attenuation of innate immunity by cytomegalovirus IL-10 establishes a long-term deficit of adaptive antiviral immunity,W. L. William Chang and Peter A. Barry,W. L. William Chang,December 28; 2010 ,Microbiology,46
Transfer of a prion strain to different hosts leads to emergence of strain variants,Sukhvir P. Mahal; Shawn Browning; Jiali Li; Irena Suponitsky-Kroyter; and Charles Weissmann,Sukhvir P. Mahal,December 28; 2010 ,Microbiology,34
αVβ3-integrin routes herpes simplex virus to an entry pathway dependent on cholesterol-rich lipid rafts and dynamin2,Tatiana Gianni; Valentina Gatta; and Gabriella Campadelli-Fiume,Tatiana Gianni,December 21; 2010 ,Microbiology,47
